Tend f Neff Omeganurel 1/Omeganunr YPCMB YPBBN DoHx1e5 He3oHx1e5 Li7oHx1e10
0.00175751 0.163265 22.3318 41.8074 20.8724 0.314355 0.315897 9.94874 1.76152 1.75902
0.00175751 0.183673 19.3751 36.2722 23.2183 0.311701 0.313236 9.04292 1.6992 1.77148
0.00175751 0.204082 17.0077 31.8402 25.6024 0.309282 0.31081 8.29665 1.64421 1.81452
0.00175751 0.22449 15.0694 28.2115 28.0345 0.307058 0.30858 7.69358 1.59665 1.87962
0.00175751 0.244898 13.4533 25.1859 30.5242 0.305014 0.306531 7.16181 1.55283 1.96559
0.00175751 0.265306 12.0851 22.6245 33.0809 0.303156 0.304667 6.71999 1.51442 2.06317
0.00175751 0.285714 10.9119 20.4282 35.7141 0.301463 0.302969 6.34098 1.47957 2.17296
0.00175751 0.306122 9.89485 18.5242 38.4333 0.299936 0.301438 5.98826 1.44701 2.29385
0.00175751 0.326531 9.00467 16.8577 41.2491 0.298539 0.300037 5.70061 1.41866 2.41532
0.00175751 0.346939 8.21904 15.3869 44.1722 0.297301 0.298795 5.43559 1.39277 2.53972
0.00175751 0.367347 7.52056 14.0793 47.2147 0.296193 0.297685 5.18369 1.36711 2.68449
0.00175751 0.387755 6.89551 12.9091 50.3895 0.295218 0.296707 4.9711 1.3452 2.81912
0.00175751 0.408163 6.33287 11.8558 53.7111 0.294373 0.295859 4.77902 1.32484 2.95791
0.00175751 0.428571 5.82376 10.9027 57.1956 0.293654 0.295138 4.60107 1.30547 3.10013
0.00175751 0.44898 5.36088 10.0361 60.8608 0.293046 0.294529 4.45141 1.28896 3.23127
0.00175751 0.469388 4.93821 9.24484 64.7273 0.292549 0.29403 4.29698 1.27165 3.3822
0.00175751 0.489796 4.55073 8.51944 68.8183 0.292185 0.293665 4.16128 1.25639 3.52477
0.00175751 0.510204 4.19423 7.85203 73.1603 0.291913 0.293392 4.04135 1.24213 3.66877
0.00175751 0.530612 3.86513 7.23592 77.7843 0.291746 0.293224 3.92051 1.22849 3.81538
0.00175751 0.55102 3.56039 6.66542 82.7259 0.291695 0.293173 3.81191 1.21579 3.96418
0.00175751 0.571429 3.27741 6.13564 88.0272 0.291747 0.293225 3.71388 1.20395 4.1078
0.00175751 0.591837 3.01393 5.64239 93.7379 0.291882 0.293361 3.62571 1.19297 4.24991
0.00175751 0.612245 2.76801 5.182 99.9169 0.292128 0.293607 3.53918 1.18288 4.39133
0.00175751 0.632653 2.53795 4.7513 106.636 0.292461 0.293941 3.45774 1.17263 4.54092
0.00175751 0.653061 2.32227 4.34752 113.981 0.292898 0.29438 3.37975 1.16306 4.69386
0.00175751 0.673469 2.11965 3.9682 122.058 0.293419 0.294903 3.31539 1.15484 4.82704
0.00175751 0.693878 1.92895 3.61119 131.001 0.294021 0.295507 3.25107 1.14662 4.97135
0.00175751 0.714286 1.74914 3.27457 140.976 0.294725 0.296212 3.18253 1.13825 5.12637
0.00175751 0.734694 1.57933 2.95666 152.199 0.295509 0.296999 3.12673 1.13123 5.26476
