Tend Neff Omeganurel 1/Omeganunr YPCMB YPBBN DoHx1e5 He3oHx1e5 Li7oHx1e10
2.07292 3.10618 5.81508 91.6421 0.24253 0.243845 2.45741 1.04141 5.34588
2.17112 3.10297 5.80907 91.7133 0.242854 0.24417 2.45901 1.0414 5.35426
2.27397 3.09975 5.80304 91.7847 0.243171 0.244488 2.45607 1.04118 5.36717
2.38169 3.09652 5.797 91.8564 0.243489 0.244807 2.46178 1.04178 5.36552
2.49451 3.09329 5.79096 91.9283 0.243784 0.245103 2.46325 1.04207 5.37074
2.61268 3.09006 5.78492 92.0003 0.244061 0.245381 2.46247 1.04214 5.37669
2.73644 3.08686 5.77892 92.0719 0.244307 0.245629 2.46424 1.0423 5.3806
2.86607 3.08368 5.77297 92.143 0.244532 0.245854 2.45919 1.04191 5.39634
3.00184 3.08055 5.76711 92.2132 0.244727 0.24605 2.46272 1.04217 5.39552
3.14404 3.0775 5.76139 92.282 0.244903 0.246227 2.46433 1.04224 5.39932
3.29297 3.0745 5.75578 92.3494 0.245059 0.246383 2.46352 1.04257 5.39956
3.44896 3.0716 5.75036 92.4147 0.245183 0.246508 2.46423 1.04221 5.40832
3.61234 3.06883 5.74516 92.4774 0.245286 0.246611 2.46259 1.04226 5.40906
3.78346 3.06617 5.74019 92.5375 0.245366 0.246691 2.46165 1.04198 5.41747
3.96269 3.06365 5.73547 92.5945 0.245427 0.246753 2.46366 1.04223 5.41557
4.1504 3.06129 5.73105 92.6481 0.24548 0.246805 2.45913 1.04156 5.42879
4.34701 3.05909 5.72693 92.6981 0.245513 0.246839 2.46309 1.04208 5.42108
4.55294 3.05707 5.72315 92.744 0.245541 0.246867 2.46237 1.0421 5.42229
4.76861 3.05522 5.71968 92.7862 0.245565 0.246891 2.45943 1.04167 5.43045
4.99451 3.05355 5.71656 92.8241 0.245576 0.246902 2.46144 1.04196 5.4268
5.2311 3.05205 5.71375 92.8584 0.245587 0.246913 2.45901 1.04194 5.42595
5.4789 3.05074 5.71129 92.8884 0.245597 0.246923 2.45585 1.04128 5.43753
5.73844 3.04958 5.70913 92.9148 0.245596 0.246922 2.45809 1.04172 5.43099
6.01028 3.04858 5.70725 92.9377 0.2456 0.246926 2.46104 1.04178 5.42858
6.29499 3.04774 5.70569 92.9568 0.245602 0.246928 2.45509 1.04133 5.43838
6.59319 3.04703 5.70435 92.9731 0.245603 0.246929 2.4601 1.0417 5.43081
6.90551 3.04644 5.70325 92.9866 0.245604 0.24693 2.46053 1.04184 5.4285
7.23263 3.04596 5.70235 92.9976 0.245606 0.246932 2.45936 1.04168 5.42876
7.57525 3.04558 5.70163 93.0064 0.2456 0.246926 2.45628 1.04114 5.44031
7.9341 3.04527 5.70106 93.0134 0.245607 0.246933 2.46023 1.04169 5.43009
8.30994 3.04504 5.70062 93.0188 0.245607 0.246933 2.4588 1.04174 5.43182
8.70359 3.04486 5.70029 93.0229 0.245609 0.246935 2.45667 1.04142 5.43768
9.11589 3.04472 5.70003 93.0259 0.245606 0.246932 2.45982 1.04172 5.43063
9.54772 3.04463 5.69985 93.0282 0.245602 0.246928 2.45699 1.04131 5.4385
10 3.04456 5.69973 93.0297 0.245602 0.246928 2.45667 1.04129 5.4386
