Tend f Neff Omeganurel 1/Omeganunr YPCMB YPBBN DoHx1e5 He3oHx1e5 Li7oHx1e10
0.0132571 0.734694 1.56631 2.9323 153.146 0.279868 0.28131 3.4146 1.1572 4.31029
0.0132571 0.755102 1.40974 2.63918 165.733 0.279866 0.281308 3.35734 1.15084 4.41091
0.0132571 0.77551 1.26135 2.36137 180.152 0.279898 0.28134 3.29768 1.14475 4.51111
0.0132571 0.795918 1.1205 2.09769 196.882 0.279981 0.281424 3.24917 1.13928 4.60163
0.0132571 0.816327 0.986649 1.84711 216.592 0.280114 0.281557 3.2015 1.13423 4.69188
0.0132571 0.836735 0.859279 1.60866 240.25 0.280274 0.281717 3.14707 1.12843 4.79582
0.0132571 0.857143 0.737936 1.38149 269.309 0.28047 0.281914 3.106 1.12364 4.88538
0.0132571 0.877551 0.6222 1.16482 306.068 0.280708 0.282153 3.05884 1.1186 4.98573
0.0132571 0.897959 0.511694 0.957943 354.411 0.280987 0.282432 3.0202 1.11398 5.0757
0.0132571 0.918367 0.406069 0.760204 421.517 0.281299 0.282746 2.97611 1.10909 5.179
0.0132571 0.938776 0.305013 0.571016 522.427 0.281653 0.2831 2.93548 1.10471 5.27155
0.0132571 0.959184 0.208235 0.389837 695.585 0.282042 0.283491 2.90207 1.10076 5.36149
0.0132571 0.979592 0.115468 0.216167 1082.48 0.282464 0.283914 2.86499 1.09651 5.4594
0.0132571 1 0.0264686 0.0495519 3267.51 0.282925 0.284377 2.82764 1.09253 5.55723
0.0152642 0 437.193 818.47 2.24264 0.321481 0.323041 29.5708 2.1868 4.52231
0.0152642 0.0204082 140.234 262.533 5.26167 0.318421 0.319974 22.1894 2.08117 3.18001
0.0152642 0.0408163 82.0756 153.654 7.86329 0.315524 0.317069 17.9521 1.98427 2.51037
0.0152642 0.0612245 57.2761 107.227 10.2988 0.312811 0.314348 15.1962 1.90033 2.13776
0.0152642 0.0816327 43.5324 81.497 12.6519 0.310268 0.311799 13.2605 1.82787 1.92377
0.0152642 0.102041 34.7998 65.1488 14.9652 0.307884 0.309409 11.8056 1.76513 1.8007
0.0152642 0.122449 28.7608 53.8432 17.2649 0.305658 0.307176 10.7079 1.71156 1.73949
0.0152642 0.142857 24.3359 45.5593 19.5695 0.303567 0.305079 9.80401 1.66415 1.715
0.0152642 0.163265 20.9546 39.2291 21.893 0.30162 0.303127 9.08775 1.62294 1.71895
0.0152642 0.183673 18.2867 34.2345 24.2473 0.299798 0.3013 8.46862 1.58563 1.74286
0.0152642 0.204082 16.1281 30.1934 26.6427 0.298086 0.299583 7.95956 1.5525 1.78099
0.0152642 0.22449 14.3458 26.8567 29.0886 0.296494 0.297987 7.50192 1.52202 1.83263
0.0152642 0.244898 12.8493 24.0552 31.5941 0.294994 0.296481 7.10899 1.49461 1.89229
0.0152642 0.265306 11.575 21.6696 34.1683 0.293602 0.295086 6.76928 1.46987 1.95656
0.0152642 0.285714 10.4769 19.6139 36.8205 0.292288 0.293768 6.45976 1.44647 2.02985
0.0152642 0.306122 9.5209 17.8241 39.56 0.291062 0.292538 6.17464 1.42448 2.1111
0.0152642 0.326531 8.68105 16.2518 42.3971 0.289915 0.291388 5.93468 1.40528 2.18663
0.0152642 0.346939 7.93743 14.8597 45.3425 0.288851 0.290321 5.70462 1.38664 2.27284
0.0152642 0.367347 7.27442 13.6185 48.4079 0.287861 0.289328 5.50373 1.36971 2.35507
0.0152642 0.387755 6.6796 12.5049 51.6062 0.286937 0.288401 5.31672 1.35363 2.44188
0.0152642 0.408163 6.14297 11.5003 54.9517 0.28609 0.287552 5.13809 1.33824 2.5339
0.0152642 0.428571 5.65641 10.5894 58.46 0.285302 0.28676 4.97834 1.32401 2.62559
0.0152642 0.44898 5.21323 9.7597 62.1491 0.284571 0.286028 4.82875 1.31062 2.71616
0.0152642 0.469388 4.80788 9.00084 66.0389 0.283906 0.28536 4.69449 1.29818 2.80656
0.0152642 0.489796 4.43572 8.30413 70.1522 0.283308 0.284761 4.56533 1.28595 2.90014
0.0152642 0.510204 4.09285 7.66223 74.5153 0.282755 0.284206 4.44238 1.27458 2.99538
0.0152642 0.530612 3.77593 7.06894 79.1583 0.282256 0.283705 4.33487 1.26421 3.08416
0.0152642 0.55102 3.48215 6.51893 84.1162 0.281818 0.283266 4.22584 1.25363 3.18158
0.0152642 0.571429 3.20904 6.00766 89.43 0.281432 0.282878 4.12819 1.24415 3.2726
0.0152642 0.591837 2.95452 5.53117 95.148 0.281086 0.282532 4.03162 1.2345 3.3723
0.0152642 0.612245 2.71675 5.08603 101.328 0.280794 0.282239 3.94109 1.2254 3.47042
0.0152642 0.632653 2.49412 4.66926 108.038 0.280559 0.282003 3.86111 1.21732 3.55954
0.0152642 0.653061 2.28525 4.27822 115.362 0.280355 0.281799 3.78213 1.2089 3.65793
0.0152642 0.673469 2.08889 3.91062 123.404 0.280198 0.281641 3.70723 1.20121 3.75141
0.0152642 0.693878 1.90396 3.56441 132.288 0.28009 0.281532 3.63359 1.19343 3.85092
0.0152642 0.714286 1.72949 3.23778 142.176 0.280031 0.281474 3.57024 1.18663 3.93999
0.0152642 0.734694 1.56461 2.92911 153.271 0.28001 0.281453 3.50647 1.18006 4.0311
0.0152642 0.755102 1.40856 2.63698 165.837 0.280031 0.281473 3.44847 1.17367 4.1222
0.0152642 0.77551 1.26065 2.36007 180.226 0.280094 0.281537 3.38372 1.16672 4.22775
0.0152642 0.795918 1.12026 2.09725 196.913 0.280189 0.281632 3.33269 1.16138 4.31379
0.0152642 0.816327 0.986835 1.84746 216.562 0.280327 0.281771 3.27603 1.15517 4.41089
0.0152642 0.836735 0.859863 1.60975 240.128 0.280508 0.281952 3.22202 1.14932 4.50978
0.0152642 0.857143 0.738891 1.38328 269.048 0.280726 0.282171 3.17646 1.14413 4.60134
0.0152642 0.877551 0.623505 1.16727 305.587 0.280985 0.282431 3.12829 1.13874 4.69819
0.0152642 0.897959 0.513327 0.961001 353.565 0.281273 0.282719 3.08631 1.134 4.78459
0.0152642 0.918367 0.408013 0.763842 420.01 0.281596 0.283044 3.04777 1.12963 4.87359
0.0152642 0.938776 0.307248 0.575199 519.575 0.281967 0.283415 3.00032 1.12408 4.98111
0.0152642 0.959184 0.210744 0.394534 689.364 0.282358 0.283808 2.96249 1.11975 5.0719
0.0152642 0.979592 0.118238 0.221353 1063.4 0.282801 0.284252 2.92339 1.11553 5.16306
0.0152642 1 0.029485 0.055199 3013.45 0.283278 0.28473 2.89169 1.11175 5.2479
0.0175751 0 391.933 733.739 2.4342 0.320833 0.322392 28.6189 2.16994 4.32851
